id,name,category,subcategory,brand,unit_cost,base_price,shelf_life_days
PRD-0073,Havells Iron 1000W,Electronics,Appliances,Havells,1200,2299,
PRD-0074,Prestige Induction 1600W,Electronics,Appliances,Prestige,1500,2999,
PRD-0075,Jockey Cotton T-Shirt M,Clothing,Men's Wear,Jockey,220,450,
PRD-0076,Levi's Denim Shorts,Clothing,Men's Wear,Levi's,550,1299,
PRD-0077,Peter England Formal Shirt,Clothing,Men's Wear,Peter England,350,799,
PRD-0078,Van Heusen Trousers,Clothing,Men's Wear,Van Heusen,480,1099,
PRD-0079,Biba Kurta Set Women,Clothing,Women's Wear,Biba,450,999,
PRD-0080,W Brand Ethnic Dress,Clothing,Women's Wear,W,520,1199,
PRD-0081,Kids Cotton Pyjama Set,Clothing,Kids Wear,Babyhug,180,399,
PRD-0082,Woodland Casual Socks 3pk,Clothing,Accessories,Woodland,85,199,
PRD-0083,Fruit of Loom Underwear 3pk,Clothing,Inner Wear,FOTL,190,399,
PRD-0084,Thermal Wear Set Adults,Clothing,Winter Wear,Monte Carlo,380,849,
PRD-0085,Lego Classic Brick Box,Toys,Building Toys,LEGO,650,1499,
PRD-0086,Funskool Monopoly Board Game,Toys,Board Games,Funskool,350,699,
PRD-0087,Crayola Crayons 64ct,Toys,Art & Craft,Crayola,160,329,
PRD-0088,Hot Wheels 5 Car Pack,Toys,Die-Cast Cars,Hot Wheels,280,549,
PRD-0089,Barbie Doll Set,Toys,Dolls,Barbie,380,799,
PRD-0090,Nerf Blaster Disruptor,Toys,Outdoor Toys,Nerf,450,999,
PRD-0091,Rubik's Cube 3x3,Toys,Puzzles,Rubik's,180,349,
PRD-0092,Funskool Cricket Set,Toys,Sports Toys,Funskool,250,499,
PRD-0093,Milton Kids Water Bottle,Toys,School Supplies,Milton,90,199,
PRD-0094,Camlin Geometry Box,Stationery,School Supplies,Camlin,42,79,
PRD-0095,Classmate Notebook 200pg,Stationery,Notebooks,Classmate,38,60,
PRD-0096,Reynolds Pen 10pk,Stationery,Pens,Reynolds,28,49,
PRD-0097,Apsara Pencil 10pk,Stationery,Pencils,Apsara,18,30,
PRD-0098,Fevicol MR 200g,Stationery,Adhesives,Fevicol,48,75,
PRD-0099,Scotch Tape 2pk,Stationery,Tapes,Scotch,38,65,
PRD-0100,Diwali Puja Thali Set,Seasonal,Festival,Local,180,399,
PRD-0101,Rangoli Color Set 12pk,Seasonal,Festival,Tikuli Art,42,80,
PRD-0102,Agarbatti Incense 50 Sticks,Seasonal,Puja Items,Cycle,25,45,365
PRD-0103,Cold Cream Pond's 100ml,Seasonal,Winter Care,Pond's,75,120,1095
PRD-0104,Sunscreen Lakme SPF50 50ml,Seasonal,Summer Care,Lakme,145,230,1095
PRD-0105,Lip Balm Himalaya,Seasonal,Winter Care,Himalaya,48,85,1095
PRD-0106,Woolens Wash Rin 500ml,Seasonal,Winter Laundry,Rin,52,85,1095
PRD-0107,Kite Making Kit,Seasonal,Festival,Local,35,65,
PRD-0108,Holi Color Powder 100g,Seasonal,Festival,Local,12,22,
PRD-0109,Christmas Decoration Box,Seasonal,Festival,Archies,95,199,
